"1","1","A habitat designed to float like a balloon in a planet’s upper atmosphere.","Aerostat: A habitat designed to float like a balloon in aplanet’s upper atmosphere.","Aerostat","Sylphs","Extrasolar"
"1","1","After the Fall (used for reference dating).","AF: After the Fall (used for reference dating).","AF","Scorchers","Smart Animals"
"1","1","Artificial General Intelligence. An AI that has cognitive faculties comparable to that of a human or higher.Also known as “strong AI” (differentiating from more specialized “weak AI”). See also “seed AI.”","AGI: Artificial General Intelligence. An AI that has cognitive faculties comparable to that of a human or higher. Also known as “strong AI” (differentiating from more specialized “weak AI”). See also “seed AI.”","AGI","Egocasting","Singularity Seeker"
"1","1","Artificial Intelligence. Generally used to refer to weakAIs; i.e., AIs that do not encompass (or in some cases, are completely outside of) the full range of human cognitive abilities. AIs differ from AGIs in that they are usually specialized and/or intentionally crippled/limited.","AI: Artificial Intelligence. Generally used to refer to weakAIs; i.e., AIs that do not encompass (or in some cases, are completely outside of) the full range of human cognitive abilities. AIs differ from AGIs in that they are usually specialized and/or intentionally crippled/limited.","AI","Re-instantiated","Vapor"
"1","1","Someone who believes government is unnecessary, that power corrupts, and that people should control their own lives through self-organized individual and collective action.","Anarchist: Someone who believes government is unnecessary, that power corrupts, and that people should control their own lives through self-organized individual and collective action.","Anarchist","Async","Smart Animals"
"1","1","A spider-like robotic synthmorph.","Arachnoid: A spider-like robotic synthmorph.","Arachnoid","Sleight","AU"
"1","1","A faction of techno-progressive scientists that promote responsible and ethical use of technology.","Argonauts: A faction of techno-progressive scientists that promote responsible and ethical use of technology.","Argonauts","Chimeric","Vapor"
"1","1","Augmented Reality. Information from the mesh (universal data network) that is overlaid on your real-world senses. AR data is usually entoptic (visual), but can also be audio, tactile, olfactory, kinesthetic (body awareness),emotional, or other types of input.","AR: Augmented Reality. Information from the mesh (universal data network) that is overlaid on your real-world senses. AR data is usually entoptic (visual), but can also be audio, tactile, olfactory, kinesthetic (body awareness),emotional, or other types of input.","AR","Mist","Trojans"
"1","1","A person with psi abilities.","Async: A person with psi abilities.","Async","Smart Animals","Lifelog"
"1","1","Astronomical Unit. The distance between the Earth and the Sun, equal to 8.3 light minutes, or about 150 million kilometers.","AU: Astronomical Unit. The distance between the Earth and the Sun, equal to 8.3 light minutes, or about 150 million kilometers.","AU","Splicers","Reclaimers"
"1","1","The alliance of anarchists, Barsoomians, Extropians, scum, and Titanians.","Autonomists: The alliance of anarchists, Barsoomians, Extropians, scum, and Titanians.","Autonomists","Mercurials","Splicers"
"1","1","A rural Martian, typically resentful of hypercorp control.","Barsoomian: A rural Martian, typically resentful of hypercorp control.","Barsoomian","O’Neill Cylinder","Forking"
"1","1","An image or other sensory input that affects the brain’s visual cortex and pattern recognition abilities in such a way as to cause a glitch and possibly exploit it and rewrite neural code.","Basilisk Hack: An image or other sensory input that affects the brain’s visual cortex and pattern recognition abilities in such a way as to cause a glitch and possibly exploit it and rewrite neural code.","Basilisk Hack","Bots","BF"
"1","1","A microgravity habitat made from a tunneled out asteroid or moon.","Beehive: A microgravity habitat made from a tunneled out asteroid or moon.","Beehive","AF","Forking"
"1","1","Before the Fall (used for reference dating).","BF: Before the Fall (used for reference dating).","BF","Teleoperation","Pods"
"1","1","An anti-technology movement that arguesfor strict regulation of nanofabrication, AI, uploading, forking,cognitive enhancements, and other disruptive technologies.","Bioconservative: An anti-technology movement that argues for strict regulation of nanofabrication, AI, uploading, forking,cognitive enhancements, and other disruptive technologies.","Bioconservative","Farcasting","Trojans"
"1","1","A biological body, whether a flat, splicer,genetically engineered transhuman, or pod.","Biomorph: A biological body, whether a flat, splicer,genetically engineered transhuman, or pod.","Biomorph","Mist","Ghost"
"1","1","A service for leasing, selling, acquiring, or storing a morph. AKA dollhouse, morgue.","Body Bank: A service for leasing, selling, acquiring, or storing a morph. AKA dollhouse, morgue.","Body Bank","Fury","Lifelog"
"1","1","Robots. AI-piloted synthetic shells.","Bots: Robots. AI-piloted synthetic shells.","Bots","Spime","Mercurials"
"1","1","A type of autonomous monitoring deep space probe meant to make contact with alien civilizations.","Bracewell Probe: A type of autonomous monitoring deep space probe meant to make contact with alien civilizations.","Bracewell Probe","Exoplanet","Nanobot"
